timestamp,close,signal,signal_strength
0,241.69500732421875,1,0.9962379876201547
1,241.25250244140625,1,0.9942160171114783
2,240.94839477539062,1,0.9953856391661807
3,241.25999450683594,1,0.995227463208887
4,241.22999572753906,1,0.8454763295192131
5,240.88499450683594,1,0.8466568018040032
6,240.7899932861328,1,0.8463923738567215
7,240.94500732421875,1,0.8471168624940707
8,241.32119750976562,1,0.8467231502155951
9,240.53990173339844,1,0.8456711098493276
10,240.83999633789062,1,0.8452081701559506
11,241.14999389648438,1,0.8455787304152963
12,241.69500732421875,1,0.8449414269547215
13,241.7100067138672,1,0.8410262226482583
14,241.91000366210938,1,0.8440483317244782
15,242.2100067138672,1,0.8415271073934479
16,243.08999633789062,1,0.8389933622640219
17,242.83999633789062,1,0.8392965547119146
18,242.6199951171875,1,0.8395073865583453
19,242.6199951171875,1,0.04067723639687855
20,242.22000122070312,1,0.04036359102415616
21,242.0850067138672,1,0.04086552179068362
22,241.923095703125,1,0.040691858888310416
23,242.27999877929688,1,0.03980726358837654
24,242.77999877929688,1,0.03854245351756009
25,242.39999389648438,1,0.03973979161279181
26,242.64500427246094,1,0.03848197609953696
27,242.60000610351562,1,0.038346085000818285
28,242.9149932861328,1,0.038150086822963315
29,243.2899932861328,1,0.03632524433936366
30,243.39500427246094,1,0.03659147731433436
31,243.6385040283203,1,0.03580155025865003
32,244.2751007080078,1,0.033975092453244336
33,244.0800018310547,1,0.0327527156740797
34,244.29010009765625,1,0.030700805499586082
35,244.52000427246094,1,0.030098401927368273
36,244.66000366210938,1,0.029215879010626947
37,244.82000732421875,1,0.028678306146586573
38,245.5426025390625,1,0.02675084019410477
39,245.46629333496094,1,0.02686838639345249
40,245.43499755859375,1,0.025059070382809415
41,245.15499877929688,1,0.02514534084498374
42,245.02000427246094,1,0.024104416066700794
43,245.30990600585938,1,0.023898705526999717
44,245.1750030517578,1,0.023946176759751175
45,245.09500122070312,1,0.02407317618147803
46,245.19000244140625,1,0.023948992855266703
47,245.24380493164062,1,0.023252167716915823
48,244.9199981689453,1,0.02422932212139511
49,245.39999389648438,1,0.003695475452373453
50,245.36500549316406,1,0.00387302600856848
51,245.44000244140625,1,0.003574972720949412
52,245.1199951171875,1,0.0031366487414146455
53,245.39999389648438,1,0.002001702561548093
54,245.4499969482422,1,0.0016452401088685438
55,245.8199005126953,0,0.0009747764973846867
56,246.12620544433594,0,-0.000908675567830744
57,245.8657989501953,0,-0.0007203546619006079
58,245.6779022216797,0,-0.0006406837186925562
59,245.48849487304688,0,0.0002828417238803973
60,245.6154022216797,0,-0.0001929030004121667
61,245.9600067138672,0,-0.0005299533880300687
62,245.82000732421875,0,-0.0004656793138261327
63,245.72000122070312,0,-0.000587259699799057
64,245.4600067138672,0,0.0003717038513832468
65,245.50999450683594,0,-1.2431247330397052e-05
66,245.57699584960938,0,0.00022905054374725212
67,245.64999389648438,0,0.0003535172085759918
68,245.69500732421875,0,-0.0006360566380288535
69,245.55999755859375,0,0.0001538400186924423
70,245.73500061035156,0,-0.0002414118982461435
71,245.61000061035156,0,-0.0003511279759460725
72,245.625,-1,-0.0017016050778903946
73,245.08999633789062,0,-0.0009102545024443127
74,244.85000610351562,0,0.00042924624800535854
75,244.94000244140625,0,0.0008500109842451808
76,245.6199951171875,-1,-0.0014145075074631468
77,245.2899932861328,1,0.0024690772514123147
